,Unnamed: 0,Trasformer,LSTM,Ours,Actual
0,,,,,520.164
1,,,,,520.164
2,,,,,520.164
3,,,,,520.164
4,,,,,520.164
5,,,,,520.118
6,,,,,520.114
7,,,,,520.016
8,,,,,519.8799999999999
9,,,,,519.7479999999999
10,,,,,519.592
11,,,,,519.4979999999999
12,,,,,519.3979999999999
13,,,,,519.368
14,,,,,519.4300000000001
15,,,,,519.522
16,,,,,519.624
17,,,,,519.806
18,,,,,519.864
19,,,,,519.77
20,,,,,519.752
21,,,,,519.672
22,,,,,519.5
23,,,,,519.434
24,,,,,519.5260000000001
25,,,,,519.5840000000001
26,,,,,519.67
27,,,,,519.806
28,,,,,519.934
29,,,,,519.99
30,0.0,504.8008117675781,484.7413940429688,512.858154296875,520.042
31,1.0,504.8008117675781,484.9259948730469,512.0643310546875,520.078
32,2.0,504.8008219401042,484.718017578125,512.4680989583334,520.074
33,3.0,504.8008117675781,484.1769714355469,512.2387084960938,520.04
34,4.0,504.800830078125,483.8416015625,512.0283203125,519.9559999999999
35,5.0,504.8008219401042,483.8164876302083,511.87451171875,519.908
36,6.0,504.80081612723217,484.1518205915178,511.7592424665178,519.8
37,7.0,504.8008117675781,483.7174377441406,511.9530029296875,519.726
38,8.0,504.8008355034722,483.4568142361111,512.1117621527778,519.662
39,9.0,504.800830078125,483.28271484375,512.2126953125,519.6320000000001
40,10.0,504.80082563920456,483.17458274147725,512.0588156960227,519.612
41,11.0,504.8008219401042,483.3199055989583,512.1651611328125,519.7120000000001
42,12.0,504.8008188100961,483.4581956129808,512.2429011418269,519.8100000000001
43,13.0,504.80081612723217,483.72572544642856,512.205078125,519.8799999999999
44,14.0,504.8008138020833,483.78486328125,512.24794921875,519.906
45,15.0,504.8008117675781,483.7425537109375,512.1287841796875,519.89
46,16.0,504.8008386948529,483.9235409007353,512.1165556066177,519.852
47,17.0,504.8008355034722,484.09483506944446,512.0163302951389,519.818
48,18.0,504.8008326480263,483.97383840460526,511.90028782894734,519.8280000000001
49,19.0,504.800830078125,484.00859375,511.95341796875,519.894
50,20.0,504.8008277529762,484.1217447916667,511.9957682291667,519.954
51,21.0,504.80082563920456,484.12739701704544,512.02783203125,519.97
52,22.0,504.8008237092391,484.123046875,512.0168563179348,520.0020000000001
53,23.0,504.8008219401042,484.1959228515625,512.0164794921875,520.0
54,24.0,504.8008203125,484.27515625,512.0056640625,519.9739999999999
55,25.0,504.8008188100961,484.24984975961536,511.9889573317308,519.964
56,26.0,504.8008174189815,484.3353226273149,512.0102358217592,519.954
57,27.0,504.80081612723217,484.42972237723217,511.9978376116072,519.882
58,28.0,504.80081492456895,484.3885708512931,511.6921807650862,519.83
59,29.0,504.8008138020833,484.33815104166666,511.4030924479167,519.8100000000001
60,30.0,504.8008138020833,484.281640625,511.0489908854167,519.804
61,31.0,504.8008138020833,484.24423828125,510.7770182291667,519.8100000000001
