,Unnamed: 0,Trasformer,LSTM,Ours,Actual
62,32.0,504.8008138020833,484.2310546875,510.4571940104167,519.856
63,33.0,504.8008138020833,484.2527669270833,510.00751953125,519.92
64,34.0,504.8008138020833,484.29453125,509.56142578125,519.9440000000001
65,35.0,504.8008138020833,484.3048828125,509.11923828125,519.9440000000001
66,36.0,504.8008138020833,484.1999348958333,508.6755859375,519.966
67,37.0,504.8008138020833,484.3175455729167,508.43720703125,520.012
68,38.0,504.8008138020833,484.4404622395833,508.17584635416665,520.052
69,39.0,504.8008138020833,484.5439453125,508.20836588541664,520.0980000000001
70,40.0,504.8008138020833,484.6984049479167,508.4196940104167,520.1719999999999
71,41.0,504.8008138020833,484.7573893229167,508.4386393229167,520.202
72,42.0,504.8008138020833,484.792578125,508.4704752604167,520.238
73,43.0,504.8008138020833,484.7225260416666,508.4996744791667,520.226
74,44.0,504.8008138020833,484.7573893229167,508.6263671875,520.204
75,45.0,504.8008138020833,484.8396158854167,508.8095703125,520.114
76,46.0,504.8008138020833,484.83216145833336,508.9457682291667,520.046
77,47.0,504.8008138020833,484.8140299479167,509.1276692708333,519.914
78,48.0,504.8008138020833,484.97301432291664,509.32825520833336,519.83
79,49.0,504.8008138020833,485.0330403645833,509.44541015625,519.732
80,50.0,504.8008138020833,485.03160807291664,509.5573567708333,519.674
81,51.0,504.8008138020833,485.10393880208335,509.67119140625,519.6279999999999
82,52.0,504.8008138020833,485.1815104166666,509.8119140625,519.624
83,53.0,504.8008138020833,485.19886067708336,509.9479817708333,519.604
84,54.0,504.8008138020833,485.2046223958333,510.0898763020833,519.596
85,55.0,504.8008138020833,485.2905598958333,510.23082682291664,519.596
86,56.0,504.8008138020833,485.2801432291666,510.338671875,519.502
87,57.0,504.8008138020833,485.25530598958335,510.4864908854167,519.382
88,58.0,504.8008138020833,485.38404947916666,510.91233723958334,519.262
89,59.0,504.8008138020833,485.5315755208333,511.376953125,519.182
90,60.0,504.8008138020833,485.6671875,511.86292317708336,519.1220000000001
91,61.0,504.8008138020833,485.77672526041664,512.2677734375,519.1020000000001
92,62.0,504.8008138020833,485.9165364583333,512.6800455729167,519.0840000000001
93,63.0,504.8008138020833,486.07936197916666,513.2849934895834,519.08
94,64.0,504.8008138020833,486.2122395833333,513.89521484375,519.05
95,65.0,504.8008138020833,486.3375651041667,514.5125651041667,519.0219999999999
96,66.0,504.8008138020833,486.49225260416665,515.1319661458333,518.946
97,67.0,504.8008138020833,486.63681640625,515.483203125,518.87
98,68.0,504.8008138020833,486.7868489583333,515.97626953125,518.8
99,69.0,504.8008138020833,486.89964192708334,516.1930989583333,518.688
100,70.0,504.8008138020833,486.97278645833336,516.3375,518.54
101,71.0,504.8008138020833,487.03798828125,516.5483723958333,518.496
102,72.0,504.8008138020833,487.1059895833333,516.7361979166667,518.4979999999999
103,73.0,504.8008138020833,487.16669921875,516.9419596354167,518.46
104,74.0,504.8008138020833,487.2395833333333,517.08134765625,518.4680000000001
105,75.0,504.8008138020833,487.3136393229167,517.2148763020833,518.5020000000001
106,76.0,504.8008138020833,487.37265625,517.3559895833333,518.482
107,77.0,504.8008138020833,487.4421223958333,517.4947916666666,518.3900000000001
108,78.0,504.8008138020833,487.5114583333333,517.6333333333333,518.384
109,79.0,504.8008138020833,487.5457356770833,517.7703450520834,518.404
110,80.0,504.8008138020833,487.57386067708336,517.91806640625,518.3960000000001
111,81.0,504.8008138020833,487.62138671875,518.0705078125,518.384
112,82.0,504.8008138020833,487.68756510416665,518.2205729166667,518.412
113,83.0,504.8008138020833,487.759375,518.3431640625,518.342
114,84.0,504.8008138020833,487.8289713541666,518.4636067708333,518.212
115,85.0,504.8008138020833,487.8926106770833,518.6243489583334,518.1099999999999
116,86.0,504.8008138020833,487.9421549479167,518.7879557291667,518.076
117,87.0,504.8008138020833,487.97662760416665,518.8937825520833,518.008
118,88.0,504.8008138020833,488.0083658854167,518.9873046875,517.912
119,89.0,504.8008138020833,488.0537434895833,519.0813151041667,517.768
120,90.0,504.8008138020833,488.1042643229167,519.1804036458333,517.638
121,91.0,504.8008138020833,488.1470377604167,519.2795247395833,517.404
122,92.0,504.8008138020833,488.1852864583333,519.3731770833333,517.178
123,93.0,504.8008138020833,488.2169921875,519.4666341145834,516.9979999999999
124,94.0,504.8008138020833,488.2620442708333,519.5646809895833,516.9200000000001
125,95.0,504.8008138020833,488.27939453125,519.65966796875,516.792
126,96.0,504.8008138020833,488.2771158854167,519.7535481770833,516.796
127,97.0,504.8008138020833,488.25419921875,519.9011067708333,516.862
128,98.0,504.8008138020833,488.21129557291664,519.9125,516.898
129,99.0,504.8008138020833,488.2003580729167,519.9243489583333,516.9
130,100.0,504.8008138020833,488.2077799479167,519.9232096354167,516.898
131,101.0,504.8008138020833,488.23603515625,519.9206380208333,516.762
132,102.0,504.8008138020833,488.2352213541666,519.93408203125,516.508
133,103.0,504.8008138020833,488.26575520833336,519.9260091145833,516.296
134,104.0,504.8008138020833,488.27109375,519.9111979166667,516.064
135,105.0,504.8008138020833,488.25690104166665,519.8976888020833,515.828
136,106.0,504.8008138020833,488.22779947916666,519.8744791666667,515.61
137,107.0,504.8008138020833,488.21318359375,519.8850911458334,515.462
138,108.0,504.8008138020833,488.23828125,519.8813802083333,515.332
139,109.0,504.8008138020833,488.2306315104167,519.8690755208333,515.206
140,110.0,504.8008138020833,488.23515625,519.8306315104167,515.1220000000001
141,111.0,504.8008138020833,488.22376302083336,519.79775390625,515.082
142,112.0,504.8008138020833,488.18968098958334,519.7689778645833,515.0260000000001
143,113.0,504.8008138020833,488.1675455729167,519.7630859375,514.892
144,114.0,504.8008138020833,488.1530598958333,519.7555338541666,514.7959999999999
145,115.0,504.8008138020833,488.14345703125,519.7141276041667,514.698
146,116.0,504.8008138020833,488.10589192708335,519.6734700520833,514.58
147,117.0,504.8008138020833,488.07639973958334,519.671484375,514.472
148,118.0,504.8008138020833,488.01682942708334,519.6594075520833,514.4159999999999
149,119.0,504.8008138020833,487.958984375,519.6525716145833,514.298
150,120.0,504.8008138020833,487.9136393229167,519.6392252604167,514.118
151,121.0,504.8008138020833,487.8708658854167,519.62529296875,513.95
152,122.0,504.8008138020833,487.8093424479167,519.6359700520833,513.81
153,123.0,504.8008138020833,487.7462565104167,519.6455078125,513.668
154,124.0,504.8008138020833,487.7325846354167,519.6505208333333,513.572
155,125.0,504.8008138020833,487.67151692708336,519.6552408854167,513.5260000000001
156,126.0,504.8008138020833,487.7344075520833,519.67705078125,513.52
157,127.0,504.8008138020833,487.74798177083335,519.65390625,513.522
158,128.0,504.8008138020833,487.73603515625,519.63125,513.534
159,129.0,504.8008138020833,487.70374348958336,519.5973307291666,513.55
160,130.0,504.8008138020833,487.6372395833333,519.5593424479167,513.574
161,131.0,504.8008138020833,487.54554036458336,519.5150716145833,513.538
162,132.0,504.8008138020833,487.5132486979167,519.490625,512.95
163,133.0,504.8008138020833,487.47174479166665,519.7818033854167,512.304
164,134.0,504.8008138020833,487.4474609375,520.0595703125,511.632
165,135.0,504.8008138020833,487.4048502604167,520.33974609375,510.9219999999999
166,136.0,504.8008138020833,487.34479166666665,520.6159505208333,510.216
167,137.0,504.8008138020833,487.25595703125,520.8611002604167,509.996
