,Unnamed: 0,Trasformer,LSTM,Ours,Actual
0,,,,,524.646
1,,,,,524.646
2,,,,,524.646
3,,,,,524.646
4,,,,,524.646
5,,,,,524.738
6,,,,,524.818
7,,,,,524.884
8,,,,,524.994
9,,,,,525.0699999999999
10,,,,,525.136
11,,,,,525.242
12,,,,,525.332
13,,,,,525.418
14,,,,,525.512
15,,,,,525.5719999999999
16,,,,,525.606
17,,,,,525.6400000000001
18,,,,,525.596
19,,,,,525.52
20,,,,,525.4480000000001
21,,,,,525.3799999999999
22,,,,,525.348
23,,,,,525.3199999999999
24,,,,,525.36
25,,,,,525.418
26,,,,,525.52
27,,,,,525.6400000000001
28,,,,,525.766
29,,,,,525.862
30,0.0,504.8008117675781,490.3726196289063,523.8023681640625,525.964
31,1.0,504.8008117675781,490.7356262207031,523.787109375,525.998
32,2.0,504.8008219401042,490.8358561197917,524.0179036458334,525.9979999999999
33,3.0,504.8008117675781,490.8297119140625,524.1077880859375,525.9620000000001
34,4.0,504.800830078125,490.84189453125,524.1572265625,525.896
35,5.0,504.8008219401042,490.732177734375,524.0821940104166,525.826
36,6.0,504.80081612723217,490.6015625,524.0091029575893,525.7819999999999
37,7.0,504.8008117675781,490.423095703125,524.0272216796875,525.7839999999999
38,8.0,504.8008355034722,490.3747287326389,524.0145941840278,525.852
39,9.0,504.800830078125,490.218798828125,524.023046875,525.922
40,10.0,504.80082563920456,490.1195401278409,524.0505149147727,526.0020000000001
41,11.0,504.8008219401042,489.978271484375,524.0609130859375,526.12
42,12.0,504.8008188100961,489.845703125,524.0724158653846,526.206
43,13.0,504.80081612723217,489.7227608816965,524.0841238839286,526.2520000000001
44,14.0,504.8008138020833,489.6055013020833,524.0934895833333,526.324
45,15.0,504.8008117675781,489.4578857421875,524.0966186523438,526.394
46,16.0,504.8008386948529,489.3453010110294,524.1120174632352,526.464
47,17.0,504.8008355034722,489.2453342013889,524.1005859375,526.544
48,18.0,504.8008326480263,489.1596422697368,524.1048005756579,526.5840000000001
49,19.0,504.800830078125,489.08623046875,524.090576171875,526.602
50,20.0,504.8008277529762,489.04515438988096,524.0791015625,526.568
51,21.0,504.80082563920456,489.07528409090907,524.0901988636364,526.4879999999999
52,22.0,504.8008237092391,489.1157014266304,524.0948114809783,526.392
53,23.0,504.8008219401042,489.1590983072917,524.0879720052084,526.332
54,24.0,504.8008203125,489.220390625,524.0946484375,526.2700000000001
55,25.0,504.8008188100961,489.2340745192308,524.0957406850962,526.232
56,26.0,504.8008174189815,489.2547381365741,524.0713614004629,526.2259999999999
57,27.0,504.80081612723217,489.2405133928572,524.0512346540179,526.226
58,28.0,504.80081492456895,489.20844558189657,524.0277141702586,526.272
59,29.0,504.8008138020833,489.16552734375,524.0107421875,526.3340000000001
60,30.0,504.8008138020833,489.0981770833333,524.0266276041667,526.4300000000001
61,31.0,504.8008138020833,488.9966471354167,524.0085611979167,526.496
