,Unnamed: 0,Trasformer,LSTM,Ours,Actual
62,32.0,504.8008138020833,488.9353190104167,523.9818033854167,526.5379999999999
63,33.0,504.8008138020833,488.8806640625,523.9550130208333,526.5600000000001
64,34.0,504.8008138020833,488.8434244791667,523.93740234375,526.588
65,35.0,504.8008138020833,488.82451171875,523.9396484375,526.5719999999999
66,36.0,504.8008138020833,488.8151692708333,523.9444010416667,526.604
67,37.0,504.8008138020833,488.84453125,523.9498046875,526.6919999999999
68,38.0,504.8008138020833,488.8525716145833,523.9644856770833,526.766
69,39.0,504.8008138020833,488.86259765625,523.96826171875,526.85
70,40.0,504.8008138020833,488.8669596354167,523.9301106770833,527.0
71,41.0,504.8008138020833,488.8911783854167,523.9231770833334,527.096
72,42.0,504.8008138020833,488.9544270833333,523.9015625,527.1120000000001
73,43.0,504.8008138020833,489.0155924479167,523.8794921875,527.086
74,44.0,504.8008138020833,489.1097005208333,523.8579752604167,526.9860000000001
75,45.0,504.8008138020833,489.20520833333336,523.8464518229167,526.862
76,46.0,504.8008138020833,489.2949544270833,523.8114908854167,526.756
77,47.0,504.8008138020833,489.35081380208334,523.79052734375,526.6899999999999
78,48.0,504.8008138020833,489.3810546875,523.76630859375,526.6279999999999
79,49.0,504.8008138020833,489.42236328125,523.78115234375,526.5899999999999
80,50.0,504.8008138020833,489.4185546875,523.7941731770833,526.5379999999999
81,51.0,504.8008138020833,489.3697265625,523.8056966145833,526.5159999999998
82,52.0,504.8008138020833,489.3009765625,523.8203125,526.5
83,53.0,504.8008138020833,489.2194986979167,523.8426106770834,526.514
84,54.0,504.8008138020833,489.1376953125,523.8513671875,526.55
85,55.0,504.8008138020833,489.10361328125,523.8271158854167,526.5980000000001
86,56.0,504.8008138020833,489.09345703125,523.8502604166666,526.6360000000001
87,57.0,504.8008138020833,489.0915690104167,523.8711588541667,526.698
88,58.0,504.8008138020833,489.11513671875,523.8777018229167,526.77
89,59.0,504.8008138020833,489.1521809895833,523.878125,526.8340000000001
90,60.0,504.8008138020833,489.19690755208336,523.87900390625,526.8639999999999
91,61.0,504.8008138020833,489.23577473958335,523.8935221354167,526.862
92,62.0,504.8008138020833,489.24244791666666,523.9009440104167,526.868
93,63.0,504.8008138020833,489.2526041666667,523.9041666666667,526.8779999999999
94,64.0,504.8008138020833,489.2556315104167,523.89638671875,526.9100000000001
95,65.0,504.8008138020833,489.2549153645833,523.8839518229166,526.964
96,66.0,504.8008138020833,489.26995442708335,523.8729817708333,527.0360000000001
97,67.0,504.8008138020833,489.2239583333333,523.84501953125,527.054
98,68.0,504.8008138020833,489.1527994791667,523.8125325520833,527.038
99,69.0,504.8008138020833,489.08704427083336,523.7780924479167,526.978
100,70.0,504.8008138020833,489.0204752604167,523.7737630208334,526.9159999999999
101,71.0,504.8008138020833,488.9163411458333,523.7446614583333,526.8799999999999
102,72.0,504.8008138020833,488.81018880208336,523.730859375,526.876
103,73.0,504.8008138020833,488.7221354166667,523.7168619791667,526.922
104,74.0,504.8008138020833,488.6546875,523.71943359375,526.996
105,75.0,504.8008138020833,488.6069661458333,523.6963216145833,527.112
106,76.0,504.8008138020833,488.5248046875,523.6902018229167,527.216
107,77.0,504.8008138020833,488.47096354166666,523.6885416666667,527.3219999999999
108,78.0,504.8008138020833,488.44306640625,523.6795572916667,527.374
109,79.0,504.8008138020833,488.42587890625,523.64140625,527.388
110,80.0,504.8008138020833,488.45891927083335,523.6071614583333,527.32
111,81.0,504.8008138020833,488.50537109375,523.5705078125,527.214
112,82.0,504.8008138020833,488.52825520833335,523.5310872395834,527.092
113,83.0,504.8008138020833,488.5611002604167,523.48017578125,526.988
114,84.0,504.8008138020833,488.58411458333336,523.4347005208333,526.978
115,85.0,504.8008138020833,488.5782877604167,523.4316731770833,527.0440000000001
116,86.0,504.8008138020833,488.5359049479167,523.4007486979167,527.082
117,87.0,504.8008138020833,488.4884440104167,523.35537109375,527.082
118,88.0,504.8008138020833,488.4138346354167,523.3262044270833,527.05
119,89.0,504.8008138020833,488.29384765625,523.2894856770833,526.958
120,90.0,504.8008138020833,488.18251953125,523.2600911458334,526.86
121,91.0,504.8008138020833,488.1188151041667,523.2322591145834,526.818
122,92.0,504.8008138020833,488.0898111979167,523.2452799479166,526.808
123,93.0,504.8008138020833,488.0029296875,523.09052734375,526.8979999999999
124,94.0,504.8008138020833,487.855859375,522.9186197916666,526.958
125,95.0,504.8008138020833,487.6912109375,522.7516276041666,526.986
126,96.0,504.8008138020833,487.4882486979167,522.5770833333333,527.028
127,97.0,504.8008138020833,487.3141276041667,522.3982421875,527.08
128,98.0,504.8008138020833,487.17958984375,522.2245442708333,527.074
129,99.0,504.8008138020833,487.04501953125,522.0510091145833,527.1020000000001
130,100.0,504.8008138020833,486.9505208333333,521.88603515625,527.1139999999999
131,101.0,504.8008138020833,486.8932291666667,521.7212890625,527.0719999999999
132,102.0,504.8008138020833,486.7859700520833,521.5476236979167,527.062
133,103.0,504.8008138020833,486.671875,521.3846354166667,527.07
134,104.0,504.8008138020833,486.53330078125,521.2063151041667,527.034
135,105.0,504.8008138020833,486.41858723958336,521.048828125,527.024
136,106.0,504.8008138020833,486.26975911458334,520.8828776041667,527.028
137,107.0,504.8008138020833,486.07652994791664,520.7000651041667,527.0260000000001
138,108.0,504.8008138020833,485.8294270833333,520.51572265625,526.934
139,109.0,504.8008138020833,485.5427083333333,520.3314453125,526.908
140,110.0,504.8008138020833,485.23919270833335,520.1410481770833,526.828
141,111.0,504.8008138020833,484.9462890625,519.9283528645833,526.762
142,112.0,504.8008138020833,484.6832682291667,519.7183268229167,526.6800000000001
143,113.0,504.8008138020833,484.41119791666665,519.5279622395833,526.652
144,114.0,504.8008138020833,484.1265625,519.3344401041667,526.5840000000001
145,115.0,504.8008138020833,483.81474609375,519.1340169270833,526.528
146,116.0,504.8008138020833,483.44537760416665,518.9245442708333,526.4820000000001
147,117.0,504.8008138020833,483.07916666666665,518.7336588541667,526.4200000000001
148,118.0,504.8008138020833,482.76263020833335,518.5464192708333,526.4040000000001
149,119.0,504.8008138020833,482.5307291666667,518.3700520833333,526.422
150,120.0,504.8008138020833,482.31064453125,518.1854166666667,526.4879999999999
151,121.0,504.8008138020833,482.03649088541664,517.9961588541667,526.542
152,122.0,504.8008138020833,481.73597005208336,517.74609375,526.5400000000001
153,123.0,504.8008138020833,481.498828125,517.6599283854167,526.528
154,124.0,504.8008138020833,481.29358723958336,517.60078125,526.47
155,125.0,504.80078125,481.1271484375,517.59091796875,526.352
156,126.0,504.8008138020833,480.9679361979167,517.5887044270834,526.2299999999999
157,127.0,504.8008138020833,480.8149739583333,517.5896484375,526.184
158,128.0,504.8008138020833,480.67516276041664,517.5981770833333,526.126
159,129.0,504.80078125,480.55491536458334,517.6045247395833,526.082
160,130.0,504.8008138020833,480.3911783854167,517.6044921875,526.0559999999999
161,131.0,504.8008138020833,480.2015625,517.6030598958333,526.0139999999999
162,132.0,504.8008138020833,480.0476888020833,517.6138997395833,525.882
163,133.0,504.8008138020833,479.8697916666667,517.60830078125,525.726
164,134.0,504.8008138020833,479.69052734375,517.60078125,525.568
165,135.0,504.8008138020833,479.48583984375,517.5790690104167,525.424
166,136.0,504.8008138020833,479.3481770833333,517.5630859375,525.284
167,137.0,504.8008138020833,479.2505208333333,517.56025390625,525.1800000000001
168,138.0,504.8008138020833,479.19850260416666,517.56064453125,525.058
169,139.0,504.8008138020833,479.1592122395833,517.5732421875,524.9159999999999
170,140.0,504.8008138020833,479.1255533854167,517.5877278645834,524.766
171,141.0,504.8008138020833,479.0646158854167,517.6114583333333,524.628
172,142.0,504.8008138020833,479.01611328125,517.6327473958333,524.4979999999999
173,143.0,504.8008138020833,478.9275716145833,517.6419921875,524.442
174,144.0,504.8008138020833,478.86370442708335,517.6396158854167,524.398
175,145.0,504.8008138020833,478.820703125,517.6356119791667,524.3140000000001
176,146.0,504.8008138020833,478.8229817708333,517.6273111979167,524.1519999999999
177,147.0,504.8008138020833,478.84560546875,517.646484375,523.98
178,148.0,504.8008138020833,478.8455729166666,517.631640625,523.75
179,149.0,504.8008138020833,478.8113606770833,517.6118815104167,523.542
180,150.0,504.8008138020833,478.74609375,517.6149739583333,523.4159999999999
181,151.0,504.8008138020833,478.68958333333336,517.6102213541667,523.414
182,152.0,504.8008138020833,478.6184895833333,517.6024088541667,523.458
183,153.0,504.8008138020833,478.56897786458336,517.6020833333333,523.518
184,154.0,504.8008138020833,478.5014973958333,517.60341796875,523.5539999999999
185,155.0,504.8008138020833,478.4499348958333,517.5694986979166,523.546
186,156.0,504.8008138020833,478.4429036458333,517.5412109375,523.4660000000001
187,157.0,504.8008138020833,478.42906901041664,517.51298828125,523.306
188,158.0,504.8008138020833,478.3471354166667,517.4625,523.116
189,159.0,504.8008138020833,478.22776692708334,517.4263346354167,522.9440000000001
190,160.0,504.8008138020833,478.12805989583336,517.3990234375,522.8019999999999
191,161.0,504.8008138020833,478.03203125,517.2766927083334,522.6719999999999
192,162.0,504.8008138020833,477.9033203125,517.1515625,522.574
193,163.0,504.8008138020833,477.8543294270833,517.1328776041667,522.458
194,164.0,504.8008138020833,477.7982421875,517.10771484375,522.3340000000001
195,165.0,504.8008138020833,477.721484375,517.077734375,522.132
196,166.0,504.8008138020833,477.6199869791666,516.9473958333333,521.934
197,167.0,504.8008138020833,477.50091145833335,516.8218098958333,521.736
198,168.0,504.8008138020833,477.38030598958335,516.6656901041666,521.586
199,169.0,504.8008138020833,477.2854817708333,516.5053385416667,521.45
200,170.0,504.8008138020833,477.1804361979167,516.38837890625,521.4
201,171.0,504.8008138020833,477.09375,516.26572265625,521.3140000000001
202,172.0,504.8008138020833,476.96083984375,516.1251302083333,521.2180000000001
203,173.0,504.8008138020833,476.9099934895833,515.9944010416667,521.1139999999999
204,174.0,504.8008138020833,476.7884114583333,515.87568359375,520.996
205,175.0,504.8008138020833,476.6841796875,515.7605794270834,520.828
206,176.0,504.8008138020833,476.66028645833336,515.6638020833333,520.6879999999999
207,177.0,504.8008138020833,476.60966796875,515.3967447916667,520.588
208,178.0,504.8008138020833,476.5270833333333,515.1758138020833,520.496
209,179.0,504.8008138020833,476.4626953125,514.9578776041667,520.448
210,180.0,504.8008138020833,476.45380859375,514.7302083333333,520.406
211,181.0,504.8008138020833,476.4789713541667,514.508203125,520.35
212,182.0,504.8008138020833,476.5066080729167,514.3099283854167,520.286
213,183.0,504.8008138020833,476.5323893229167,514.1018880208334,520.162
214,184.0,504.8008138020833,476.597265625,513.8872395833333,520.024
215,185.0,504.8008138020833,476.62822265625,513.671484375,519.878
216,186.0,504.8008138020833,476.58128255208334,513.4460611979167,519.8059999999999
217,187.0,504.8008138020833,476.5000325520833,513.21904296875,519.7520000000001
218,188.0,504.8008138020833,476.51689453125,513.00205078125,519.7639999999999
219,189.0,504.8008138020833,476.58600260416665,512.7035807291667,519.744
220,190.0,504.8008138020833,476.63505859375,512.3669270833333,519.738
221,191.0,504.8008138020833,476.69264322916666,512.1213541666667,519.7
222,192.0,504.8008138020833,476.7866536458333,511.87366536458336,519.6479999999999
223,193.0,504.8008138020833,476.80279947916665,511.52763671875,519.5440000000001
224,194.0,504.8008138020833,476.8179036458333,511.19055989583336,519.398
225,195.0,504.8008138020833,476.7808268229167,510.61201171875,519.274
226,196.0,504.8008138020833,476.7908203125,510.27672526041664,519.112
227,197.0,504.8008138020833,476.84495442708334,509.96494140625,518.894
228,198.0,504.8008138020833,476.93499348958335,509.72099609375,518.668
229,199.0,504.8008138020833,477.01624348958336,509.47890625,518.426
230,200.0,504.8008138020833,477.0604166666666,509.19814453125,518.17
231,201.0,504.8008138020833,477.09609375,508.9092122395833,517.9280000000001
232,202.0,504.8008138020833,477.20130208333336,508.6360677083333,517.7540000000001
233,203.0,504.8008138020833,477.2964518229167,508.3716471354167,517.604
234,204.0,504.8008138020833,477.4300130208333,508.09931640625,517.51
235,205.0,504.80078125,477.51819661458336,507.8118489583333,517.404
236,206.0,504.8008138020833,477.5058919270833,507.5351888020833,517.3679999999999
