,Trasformer,LSTM,Ours
206,504.8008138020833,486.78118489583335,531.5874674479167
207,504.8008138020833,486.74462890625,531.5860677083333
208,504.8008138020833,486.70738932291664,531.5838216145834
209,504.8008138020833,486.66956380208336,531.5820963541667
210,504.8008138020833,486.62786458333335,531.57939453125
211,504.8008138020833,486.58916015625,531.5770833333333
212,504.8008138020833,486.55377604166665,531.5751627604167
213,504.8008138020833,486.51943359375,531.5733072916667
214,504.8008138020833,486.4886067708333,531.571484375
215,504.8008138020833,486.45872395833334,531.5697265625
216,504.8008138020833,486.42278645833335,531.5673828125
217,504.8008138020833,486.38916015625,531.5662109375
218,504.8008138020833,486.3556315104167,531.56494140625
219,504.8008138020833,486.3163736979167,531.5625651041667
220,504.8008138020833,486.27503255208336,531.5597981770833
221,504.8008138020833,486.2323893229167,531.5572265625
222,504.8008138020833,486.18818359375,531.5554361979167
223,504.8008138020833,486.1492513020833,531.5532877604167
224,504.8008138020833,486.11259765625,531.5509440104166
225,504.8008138020833,486.07353515625,531.5470052083333
226,504.8008138020833,486.04072265625,531.5444986979167
227,504.8008138020833,486.0117513020833,531.54306640625
228,504.8008138020833,485.983984375,531.54140625
229,504.8008138020833,485.96168619791666,531.540234375
230,504.8008138020833,485.93805338541665,531.53798828125
231,504.8008138020833,485.90305989583334,531.5349609375
232,504.8008138020833,485.86513671875,531.5313151041667
233,504.8008138020833,485.833203125,531.52841796875
234,504.8008138020833,485.81031901041666,531.5277018229167
235,504.8008138020833,485.7886067708333,531.5265950520833
236,504.8008138020833,485.7685872395833,531.52451171875
237,504.8008138020833,485.7490234375,531.5220703125
238,504.8008138020833,485.730078125,531.5193359375
239,504.8008138020833,485.7142578125,531.5164388020834
240,504.8008138020833,485.7042643229167,531.5138671875
241,504.8008138020833,485.69560546875,531.51123046875
242,504.8008138020833,485.68603515625,531.5082356770833
243,504.8008138020833,485.6791666666667,531.5048828125
244,504.8008138020833,485.66943359375,531.5007486979167
245,504.8008138020833,485.66022135416665,531.4966796875
246,504.8008138020833,485.661328125,531.4950846354167
247,504.8008138020833,485.6576822916667,531.4927734375
248,504.8008138020833,485.6595703125,531.4903971354166
249,504.8008138020833,485.66630859375,531.48916015625
250,504.8008138020833,485.67799479166666,531.4880208333333
251,504.8008138020833,485.69375,531.486328125
