,Trasformer,LSTM,Ours
202,504.8008138020833,483.8070963541667,527.34716796875
203,504.8008138020833,483.5317708333333,527.1566731770833
204,504.8008138020833,483.1399739583333,526.9514973958334
205,504.8008138020833,482.85478515625,526.7475260416667
206,504.8008138020833,482.557421875,526.5237955729167
207,504.8008138020833,482.24921875,526.3047526041667
208,504.8008138020833,481.88841145833334,526.0953776041666
209,504.8008138020833,481.5869466145833,525.884765625
210,504.8008138020833,481.46409505208334,525.6759440104166
211,504.8008138020833,481.32994791666664,525.4662760416667
212,504.8008138020833,481.2017578125,525.2511067708333
213,504.8008138020833,481.11614583333335,525.0339192708333
214,504.8008138020833,481.024609375,524.8263346354166
215,504.8008138020833,480.99534505208334,524.6286458333333
216,504.8008138020833,480.9181640625,524.4322591145833
217,504.8008138020833,480.87054036458335,524.2282552083333
218,504.8008138020833,480.80755208333335,524.11552734375
219,504.8008138020833,480.77379557291664,524.0883138020833
220,504.8008138020833,480.78111979166664,524.0569986979167
221,504.8008138020833,480.7796223958333,524.0185221354167
222,504.8008138020833,480.79742838541665,523.97216796875
223,504.8008138020833,480.8496419270833,523.9228190104167
224,504.8008138020833,480.8627604166667,523.8725260416667
225,504.8008138020833,480.83824869791664,523.8296549479167
226,504.8008138020833,480.83678385416664,523.7772135416667
227,504.8008138020833,480.81181640625,523.7246744791667
228,504.8008138020833,480.79700520833336,523.6810546875
229,504.8008138020833,480.84807942708335,523.6538736979167
230,504.8008138020833,480.96705729166666,523.6189127604167
231,504.80078125,481.22942708333335,523.58173828125
232,504.8008138020833,481.36194661458336,523.546875
233,504.8008138020833,481.53310546875,523.4886067708334
234,504.8008138020833,481.7882486979167,523.4507161458333
235,504.8008138020833,481.92047526041665,523.4113606770833
236,504.8008138020833,482.1020833333333,523.4142578125
237,504.8008138020833,482.28095703125,523.3664388020833
238,504.8008138020833,482.4353515625,523.3251953125
239,504.8008138020833,482.46686197916665,523.2883463541667
240,504.8008138020833,482.00218098958334,523.2301106770833
241,504.8008138020833,481.25611979166666,523.1740885416667
242,504.8008138020833,480.53362630208335,523.1142578125
243,504.8008138020833,479.85390625,523.0565104166667
244,504.8008138020833,479.2453125,523.0051432291667
245,504.8008138020833,478.5458658854167,522.948046875
246,504.8008138020833,477.90563151041664,522.8822916666667
247,504.8008138020833,477.44016927083334,522.8171223958333
248,504.8008138020833,477.32154947916666,522.74658203125
249,504.8008138020833,477.35608723958336,522.678125
250,504.8008138020833,477.36985677083334,522.6125651041667
251,504.8008138020833,477.3912760416667,522.5597981770833
252,504.8008138020833,477.30999348958335,522.50888671875
253,504.8008138020833,477.34599609375,522.4803059895834
254,504.8008138020833,477.41826171875,522.465234375
255,504.8008138020833,477.52763671875,522.4240885416667
256,504.8008138020833,477.6279622395833,522.4020833333333
257,504.8008138020833,477.72877604166666,522.3910481770833
258,504.8008138020833,477.83069661458336,522.3786783854167
259,504.8008138020833,477.8970703125,522.3452799479167
260,504.8008138020833,477.9313151041667,522.31015625
261,504.8008138020833,477.9853841145833,522.2773111979167
262,504.8008138020833,478.05419921875,522.24140625
263,504.8008138020833,478.0817057291667,522.25693359375
264,504.8008138020833,478.1077473958333,522.26787109375
265,504.8008138020833,478.2461263020833,522.2455403645833
266,504.8008138020833,478.31432291666664,522.1927083333334
267,504.8008138020833,478.37802734375,522.18701171875
268,504.8008138020833,478.48251953125,522.3096354166667
